file	endpoint	host	port	resolved_ip	ping_ms	nmap_open_udp
us-slc-wg-201.conf	69.4.234.9:51820	69.4.234.9	51820	69.4.234.9	283	-
us-slc-wg-202.conf	69.4.234.149:51820	69.4.234.149	51820	69.4.234.149	201	-
us-slc-wg-203.conf	69.4.234.131:51820	69.4.234.131	51820	69.4.234.131	293	-
us-slc-wg-204.conf	69.4.234.10:51820	69.4.234.10	51820	69.4.234.10	292	-
us-slc-wg-302.conf	23.234.112.127:51820	23.234.112.127	51820	23.234.112.127	293	-
us-slc-wg-305.conf	23.234.114.3:51820	23.234.114.3	51820	23.234.114.3	293	-
us-slc-wg-306.conf	23.234.114.127:51820	23.234.114.127	51820	23.234.114.127	293	-
us-slc-wg-307.conf	23.234.115.3:51820	23.234.115.3	51820	23.234.115.3	193	-
us-slc-wg-308.conf	23.234.115.127:51820	23.234.115.127	51820	23.234.115.127	290	-
us-txc-wg-001.conf	79.127.222.194:51820	79.127.222.194	51820	79.127.222.194	293	-
us-txc-wg-002.conf	79.127.222.207:51820	79.127.222.207	51820	79.127.222.207	293	-
us-uyk-wg-201.conf	104.36.50.3:51820	104.36.50.3	51820	104.36.50.3	191	-
us-uyk-wg-202.conf	104.36.50.33:51820	104.36.50.33	51820	104.36.50.33	191	-
us-was-wg-001.conf	185.213.193.3:51820	185.213.193.3	51820	185.213.193.3	191	-
us-was-wg-002.conf	185.213.193.127:51820	185.213.193.127	51820	185.213.193.127	190	-
za-jnb-wg-001.conf	154.47.30.130:51820	154.47.30.130	51820	154.47.30.130	294	-
za-jnb-wg-002.conf	154.47.30.143:51820	154.47.30.143	51820	154.47.30.143	293	-
